fecha,VOOG,BNS,VB,IBIT
2021-09,42.8911,44.9874,203.4563,
2021-10,46.7945,48.4885,213.5235,
2021-11,47.4539,46.1735,204.3681,
2021-12,48.6067,53.6029,211.2978,
2022-01,44.5231,54.3989,194.6565,
2022-02,42.5401,54.6862,196.3394,
2022-03,44.4740,54.2175,199.2117,
2022-04,38.8625,48.4069,182.8357,
2022-05,38.3430,51.7629,182.7607,
2022-06,35.1855,45.2648,165.6336,
2022-07,39.6880,47.2274,183.2023,
2022-08,37.5378,42.8417,178.4245,
2022-09,33.7939,36.8599,161.3602,
2022-10,35.3301,38.0211,177.3442,
2022-11,37.0915,41.0742,185.1333,
2022-12,34.2757,38.5405,174.3274,
2023-01,36.2110,43.2710,192.0318,
2023-02,35.4700,39.5538,187.6057,
2023-03,37.5652,40.2573,180.7936,
2023-04,38.1144,40.5030,178.6476,
2023-05,39.1103,39.2046,175.1283,
2023-06,41.5287,40.6085,190.4471,
2023-07,42.8003,41.5267,199.8886,
2023-08,42.5176,39.1188,192.4963,
2023-09,40.4663,38.2415,181.7499,
2023-10,39.4630,34.7730,171.1566,
2023-11,42.9335,38.4677,186.9024,
2023-12,44.5438,41.8359,206.1105,
2024-01,45.7890,40.8456,200.5551,24.3000
2024-02,49.0790,42.3484,212.1296,35.4200
2024-03,50.1727,45.2404,221.5215,40.4700
2024-04,48.2479,40.7265,207.1791,33.5700
2024-05,51.4818,41.9953,215.4163,38.5500
2024-06,54.9762,40.5668,212.1181,34.1400
2024-07,54.2854,42.1163,227.0610,37.1800
2024-08,55.4148,45.0131,227.0804,33.3700
2024-09,57.0146,49.1733,231.4534,36.1300
2024-10,56.6067,47.1525,229.9215,39.7800
2024-11,60.0710,52.2167,254.1880,55.2100
2024-12,60.5301,49.1947,235.3247,53.0500
2025-01,62.1076,47.5262,244.4916,57.7100
2025-02,60.3168,46.0958,232.6902,47.9000
2025-03,55.3942,44.0525,218.0598,46.8100
2025-04,56.4326,47.1509,212.5529,53.5100
2025-05,61.8233,50.4905,224.3926,59.4600
2025-06,65.7545,52.1414,233.8110,61.2100
2025-07,68.1274,53.2292,238.3199,66.3200
2025-08,68.6713,59.7859,249.1235,61.4400
2025-09,72.3007,61.8821,251.6746,65.0000
2025-10,74.7480,63.5630,252.3773,62.3000
2025-11,74.0374,67.1385,256.0988,51.5500
2025-12,73.9128,71.4018,256.2031,49.6500
2026-01,74.2786,73.2010,268.0622,47.4900
2026-02,71.7001,74.2100,275.2333,37.1900
2026-03,67.8737,67.9009,261.1422,38.4200
2026-04,77.9443,77.0819,283.5455,43.3200
2026-05,84.2574,79.3112,292.6384,41.6300
2026-06,82.6200,86.0385,303.1200,33.2900
2026-07,81.2900,87.7700,295.1400,35.6400
2026-08,83.9500,91.6600,299.1500,44.6700
