fecha,BNS
2021-09,44.9874
2021-10,48.4885
2021-11,46.1735
2021-12,53.6029
2022-01,54.3989
2022-02,54.6862
2022-03,54.2175
2022-04,48.4069
2022-05,51.7629
2022-06,45.2648
2022-07,47.2274
2022-08,42.8417
2022-09,36.8599
2022-10,38.0211
2022-11,41.0742
2022-12,38.5405
2023-01,43.2710
2023-02,39.5538
2023-03,40.2573
2023-04,40.5030
2023-05,39.2046
2023-06,40.6085
2023-07,41.5267
2023-08,39.1188
2023-09,38.2415
2023-10,34.7730
2023-11,38.4677
2023-12,41.8359
2024-01,40.8456
2024-02,42.3484
2024-03,45.2404
2024-04,40.7265
2024-05,41.9953
2024-06,40.5668
2024-07,42.1163
2024-08,45.0131
2024-09,49.1733
2024-10,47.1525
2024-11,52.2167
2024-12,49.1947
2025-01,47.5262
2025-02,46.0958
2025-03,44.0525
2025-04,47.1509
2025-05,50.4905
2025-06,52.1414
2025-07,53.2292
2025-08,59.7859
2025-09,61.8821
2025-10,63.5630
2025-11,67.1385
2025-12,71.4018
2026-01,73.2010
2026-02,74.2100
2026-03,67.9009
2026-04,77.0819
2026-05,79.3112
2026-06,86.0385
2026-07,87.7700
2026-08,91.6600
