fecha,IBIT
2024-01,24.3000
2024-02,35.4200
2024-03,40.4700
2024-04,33.5700
2024-05,38.5500
2024-06,34.1400
2024-07,37.1800
2024-08,33.3700
2024-09,36.1300
2024-10,39.7800
2024-11,55.2100
2024-12,53.0500
2025-01,57.7100
2025-02,47.9000
2025-03,46.8100
2025-04,53.5100
2025-05,59.4600
2025-06,61.2100
2025-07,66.3200
2025-08,61.4400
2025-09,65.0000
2025-10,62.3000
2025-11,51.5500
2025-12,49.6500
2026-01,47.4900
2026-02,37.1900
2026-03,38.4200
2026-04,43.3200
2026-05,41.6300
2026-06,33.2900
2026-07,35.6400
2026-08,44.6700
