fecha,VB
2021-09,203.4563
2021-10,213.5235
2021-11,204.3681
2021-12,211.2978
2022-01,194.6565
2022-02,196.3394
2022-03,199.2117
2022-04,182.8357
2022-05,182.7607
2022-06,165.6336
2022-07,183.2023
2022-08,178.4245
2022-09,161.3602
2022-10,177.3442
2022-11,185.1333
2022-12,174.3274
2023-01,192.0318
2023-02,187.6057
2023-03,180.7936
2023-04,178.6476
2023-05,175.1283
2023-06,190.4471
2023-07,199.8886
2023-08,192.4963
2023-09,181.7499
2023-10,171.1566
2023-11,186.9024
2023-12,206.1105
2024-01,200.5551
2024-02,212.1296
2024-03,221.5215
2024-04,207.1791
2024-05,215.4163
2024-06,212.1181
2024-07,227.0610
2024-08,227.0804
2024-09,231.4534
2024-10,229.9215
2024-11,254.1880
2024-12,235.3247
2025-01,244.4916
2025-02,232.6902
2025-03,218.0598
2025-04,212.5529
2025-05,224.3926
2025-06,233.8110
2025-07,238.3199
2025-08,249.1235
2025-09,251.6746
2025-10,252.3773
2025-11,256.0988
2025-12,256.2031
2026-01,268.0622
2026-02,275.2333
2026-03,261.1422
2026-04,283.5455
2026-05,292.6384
2026-06,303.1200
2026-07,295.1400
2026-08,299.1500
