fecha,VOOG
2021-09,42.8911
2021-10,46.7945
2021-11,47.4539
2021-12,48.6067
2022-01,44.5231
2022-02,42.5401
2022-03,44.4740
2022-04,38.8625
2022-05,38.3430
2022-06,35.1855
2022-07,39.6880
2022-08,37.5378
2022-09,33.7939
2022-10,35.3301
2022-11,37.0915
2022-12,34.2757
2023-01,36.2110
2023-02,35.4700
2023-03,37.5652
2023-04,38.1144
2023-05,39.1103
2023-06,41.5287
2023-07,42.8003
2023-08,42.5176
2023-09,40.4663
2023-10,39.4630
2023-11,42.9335
2023-12,44.5438
2024-01,45.7890
2024-02,49.0790
2024-03,50.1727
2024-04,48.2479
2024-05,51.4818
2024-06,54.9762
2024-07,54.2854
2024-08,55.4148
2024-09,57.0146
2024-10,56.6067
2024-11,60.0710
2024-12,60.5301
2025-01,62.1076
2025-02,60.3168
2025-03,55.3942
2025-04,56.4326
2025-05,61.8233
2025-06,65.7545
2025-07,68.1274
2025-08,68.6713
2025-09,72.3007
2025-10,74.7480
2025-11,74.0374
2025-12,73.9128
2026-01,74.2786
2026-02,71.7001
2026-03,67.8737
2026-04,77.9443
2026-05,84.2574
2026-06,82.6200
2026-07,81.2900
2026-08,83.9500
